por,C0,u0,k_r,D_eff,X_1d,X_3d,X_7d,X_14d,X_21d,X_30d,X_45d,X_60d
0.25509,0.22703,5.9186e-05,7.434e-07,3.92e-10,0.0010815948276070575,0.0033022810596170515,0.007740256693304248,0.015498788628969251,0.02324836193818869,0.03319832849483806,0.04975054831042447,0.06626075059710756
0.46475,0.39194,1.4723e-05,7.9831e-07,1.96e-10,0.0004862290287979132,0.0014858059193848527,0.00348455324753727,0.006981497962511796,0.010477590871743603,0.01497148893689737,0.022459155953576282,0.029944082355798374
0.46769,0.3648,7.9869e-05,9.7429e-07,4.77e-10,0.0023504273989896074,0.007142122489224856,0.016711061998920473,0.03341258672880432,0.05006337446857334,0.0713992658774697,0.10680072212179281,0.14194415845074393
0.30036,0.62209,1.5575e-05,1.9783e-07,5.29e-10,0.0007226777526911921,0.002326728257134314,0.005533342780981276,0.01114109224306925,0.01674421301115847,0.023940940791332244,0.035919819274232934,0.047878130927787255
0.33745,0.48302,8.8431e-05,6.8234e-07,8.69e-10,0.00308154806828298,0.00937228451982286,0.021902313918196414,0.04365793570102661,0.06524025993358773,0.09273649081178748,0.13800803846867005,0.18240273804764784
0.29227,0.72109,9.0794e-05,7.9317e-07,6.51e-10,0.004910910189793838,0.014911001871072083,0.03477105324736429,0.0692018338069994,0.10324208586536854,0.14642242345073508,0.21697080416723635,0.2852524583465085
0.36053,0.89585,2.3524e-05,8.2031e-07,4.08e-10,0.0017730743716408703,0.0054172854673029125,0.012704259127344963,0.02545324587328479,0.03819916995682415,0.0545837814778648,0.08188651915291134,0.10918400067955014
0.28288,0.30408,6.2227e-05,3.6567e-07,6.2e-10,0.0012140895360627235,0.003727412343185854,0.008742773977511553,0.017490983816717764,0.02620446983628999,0.03735210999576544,0.05580823881633257,0.07409304369519931
0.402,0.97087,9.0046e-05,7.2214e-07,2.88e-10,0.0063852435116251716,0.01937780196123562,0.04510753850606475,0.0895152518446416,0.13316560709302994,0.18811496113601245,0.27692167095622444,0.36119036130286375
0.37462,0.92607,6.0575e-05,5.6126e-07,9.62e-10,0.004233192578275369,0.012944520847062324,0.030273542865818848,0.06035881252595865,0.09017457307865084,0.12810871320504214,0.19036317447513607,0.25108291011361905
0.35824,0.49052,3.6735e-05,7.7073e-07,2.53e-10,0.0015050611050014817,0.004602888832723417,0.010797088243218456,0.021633334559458928,0.032465407378819755,0.04638596150152641,0.06957275709533395,0.09273652781838149
0.28948,0.52987,3.0148e-05,4.4277e-07,1.92e-10,0.001282768132255807,0.0039722618337754145,0.009348372301805408,0.018748261817220335,0.028138226320249426,0.040198176896722115,0.06026711886004643,0.0802877656789246
0.27912,0.14208,2.9506e-05,1.5199e-07,7.62e-10,0.00024216097214713184,0.0007665650889752129,0.0018147776624999334,0.003647792726000021,0.005479230885271136,0.007831323549599367,0.011745624918441666,0.015652066966169276
0.45931,0.80006,5.2918e-05,6.9132e-07,9.75e-10,0.0034169500091054683,0.010445375150031078,0.024469795255297133,0.04893160256384721,0.07330000829313166,0.10449048959775808,0.1561242945762995,0.20719049022888225
0.43158,0.12301,9.8236e-05,2.2531e-07,1.52e-10,0.00044352684607595894,0.0013539102733516328,0.003172487636171395,0.006347702843840564,0.009515419429317329,0.01357764738315237,0.020320105926811438,0.02702842158584906
0.44275,0.26509,3.0323e-05,5.4215e-07,3.33e-10,0.0006595477073851885,0.0020328835422509517,0.0047791362853825126,0.009583819576251429,0.014387187408016144,0.020561294703941413,0.030846707720024735,0.04112552011038462
0.39116,0.81171,3.1575e-05,3.2046e-07,6.79e-10,0.0019253661257410126,0.005999108099368877,0.014130559404699539,0.02831540209198613,0.04245303438658221,0.060561257010801284,0.09056448300809572,0.12034422257213795
0.40728,0.11659,4.2516e-05,7.3263e-07,5.64e-10,0.0004103346054711299,0.00125551781991462,0.0029456769032673025,0.0059029874213665234,0.00885975563230823,0.01266050623095838,0.01899290818892818,0.025322965836304
0.47143,0.60233,7.3831e-05,9.6238e-07,5.22e-10,0.003617882496301683,0.01099801883885565,0.025722681890834487,0.051398367087417185,0.07696946923801173,0.10968818885079645,0.1637831753675132,0.2172761900836091
0.34454,0.54569,4.8252e-05,3.3288e-07,9.18e-10,0.0017884773016998423,0.005520318972020322,0.01296298964492959,0.025924694607144527,0.03881638519024211,0.05529493662542839,0.08255334191178221,0.10949860708239123
0.30289,0.64583,1.9275e-05,3.6818e-07,8.15e-10,0.0010040083073865613,0.003137539857737459,0.0074036534492047945,0.014867050592919262,0.022327823302617178,0.03191630034793591,0.04788840517102799,0.06384694996513218
0.32099,0.28664,3.4676e-05,7.3683e-07,9.92e-10,0.0008294723777259039,0.0025392147031791934,0.005958303864185721,0.01194051506006888,0.017921547226976475,0.025609756613717893,0.038419610920013114,0.05122376758372904
0.36126,0.849,8.7472e-05,2.4898e-08,6.39e-10,0.00042635609841246147,0.0013067547786238531,0.003064439724485224,0.006132869454271828,0.009192460540895064,0.013111698519210013,0.019612273085383936,0.02607019685032952
0.31944,0.75523,4.7764e-05,7.0611e-08,5.03e-10,0.0009083376092491324,0.002830456611256138,0.006661590522519467,0.013332666684841343,0.019967448736300297,0.028446967138428647,0.04243645843339483,0.05626304769378088
0.41316,0.59882,4.3219e-05,8.6186e-07,9.28e-10,0.002165191000179423,0.006606917792459588,0.015487076265733868,0.03101813488354388,0.046537374891708505,0.06647672594238274,0.09966949886797072,0.13279871136111565
0.30596,0.89069,9.2579e-05,2.0015e-07,1.65e-10,0.002886698562151957,0.008799363661344484,0.020503845103295504,0.040706384495993286,0.06059444677341452,0.08571472366918131,0.12661643262881583,0.16610822778116163
0.4549,0.2924,5.687e-05,2.2959e-07,1.24e-10,0.0008744728280910552,0.00269807641694797,0.006336699700067561,0.012684699942267175,0.01900965121517062,0.027106061009423033,0.0405123564944766,0.05380822069168467
0.35041,0.91557,1.4024e-05,6.5664e-07,1.7e-10,0.0010741829359826038,0.003296433965026102,0.007739764761749646,0.015513287160550893,0.023284572779226576,0.03327316883062703,0.04991601386988043,0.0665546333172643
0.39708,0.8972,8.4483e-05,4.0845e-08,8.25e-10,0.0007205121036396589,0.00220878703803562,0.0051766214544023414,0.010349420845897628,0.015497654025396157,0.022076709173407982,0.032954292686475095,0.04371794538823426
0.29812,0.64041,6.8686e-05,1.2954e-07,5.98e-10,0.0013729161034784498,0.004221784921036642,0.009897171636303659,0.019751787968689594,0.02953032202952488,0.04199458899144781,0.06248063763913736,0.08265281441097683
0.37688,0.59261,6.3953e-05,7.6043e-07,5.1e-10,0.0030281369249651746,0.009233937256232672,0.0216175468564459,0.043206931076743116,0.06470973810062097,0.09224965325174994,0.13781509242863055,0.18287486163615307
0.27671,0.7742,8.5898e-05,9.842e-07,1.04e-10,0.00531138449312929,0.016118485874465405,0.03762759643382019,0.07503207922881949,0.11213896301709181,0.1594379262756508,0.23689542955573828,0.31223072116729367
0.26634,0.97548,4.9912e-05,3.1788e-08,2.21e-10,0.0005843673125691673,0.0018209984762017628,0.004287755228458812,0.00859006163006426,0.012875666329312252,0.018361566860966794,0.027439575571151842,0.03644184000032369
0.25215,0.56484,9.5215e-05,3.2194e-07,6.64e-10,0.002579859076130231,0.007859424086525846,0.018336983340297097,0.03646532068919983,0.05437834019034771,0.07710595020412259,0.114306204415485,0.1505266924340941
0.26815,0.99657,1.2294e-05,4.8658e-07,3.48e-10,0.00101177725940782,0.003131422564616959,0.007369850612789386,0.014785413256156454,0.022199459359351637,0.031729991324076945,0.04761111986905198,0.06348926536030297
0.30152,0.8341,6.9799e-05,5.7068e-07,8.45e-10,0.00425314315783254,0.012980292369961566,0.030321011175989288,0.0603806985457237,0.09012378212919658,0.12798282371693315,0.18987018214241214,0.2499807291315661
